"Time of Day","Process Name","PID","Operation","Path","Result","Detail","User","Session","Description","Command Line"
"1:24:48.9745426","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{289AF617-1CC3-42A6-926C-E6A863F0E3BA}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9746540","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{289AF617-1CC3-42A6-926C-E6A863F0E3BA}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9747209","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{289AF617-1CC3-42A6-926C-E6A863F0E3BA}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9751817","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{35786D3C-B075-49B9-88DD-029876E11C01}\InProcServer32","NAME NOT FOUND","Desired Access: Query Value","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9752412","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{35786D3C-B075-49b9-88DD-029876E11C01}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9752990","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{35786D3C-B075-49b9-88DD-029876E11C01}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9753129","Explorer.EXE","2624","RegQueryValue","HKCR\CLSID\{35786D3C-B075-49b9-88DD-029876E11C01}\InProcServer32\LoadWithoutCOM","NAME NOT FOUND","Length: 12","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9757215","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{35786D3C-B075-49b9-88DD-029876E11C01}\InprocServer32","NAME NOT FOUND","Desired Access: Read","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9757896","Explorer.EXE","2624","RegOpenKey","HKCU\Software\Classes\CLSID\{35786D3C-B075-49b9-88DD-029876E11C01}\InProcServer32","NAME NOT FOUND","Desired Access: Maximum Allowed","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
"1:24:48.9758052","Explorer.EXE","2624","RegQueryValue","HKCR\CLSID\{35786D3C-B075-49b9-88DD-029876E11C01}\InProcServer32\InprocServer32","NAME NOT FOUND","Length: 12","DESKTOP-VKFSKB2\jiushi","1","Windows 资源管理器","C:\Windows\Explorer.EXE"
